"pertanyaan","jawaban"
"Indeks Pembangunan Manusia (IPM)","📊 *DATA RESMI: INDEKS PEMBANGUNAN MANUSIA (IPM) KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (IPM):* *75,38 Indeks* _(Naik 0.96% | UHH: 73.56)_<br>• *Tahun 2024 (IPM):* *74,66 Indeks* _(UHH: 73.24 | RLS: 8.45)_<br>• *Tahun 2023 (IPM):* *74,34 Indeks* _(UHH: 73.03 | RLS: 8.32)_<br>• *Tahun 2022 (IPM):* *73,62 Indeks* _(Kategori Tinggi)_<br>• *Tahun 2021 (IPM):* *73,13 Indeks* _(Kategori Tinggi)_<br><br>📁 *Kategori:* Indeks Pembangunan Manusia (IPM)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Tingkat Pengangguran Terbuka (TPT) Kab. Bangka","📊 *DATA RESMI: TINGKAT PENGANGGURAN TERBUKA (TPT) KAB. BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Tingkat Pengangguran Terbuka):* *4,75 %* _(TPAK 67.93% (Tren Menurun))_<br>• *Tahun 2024 (Tingkat Pengangguran Terbuka):* *4,91 %* _(TPAK 67.92%)_<br>• *Tahun 2023 (Tingkat Pengangguran Terbuka):* *5,03 %* _(TPAK 67.46%)_<br>• *Tahun 2022 (Tingkat Pengangguran Terbuka):* *5,39 %* _(TPAK 68.81%)_<br>• *Tahun 2021 (Tingkat Pengangguran Terbuka):* *5,97 %* _(TPAK 62.68%)_<br><br>📁 *Kategori:* Tenaga Kerja<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Tenaga Kerja","📊 *DATA RESMI: TINGKAT PENGANGGURAN TERBUKA (TPT) KAB. BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Tingkat Pengangguran Terbuka):* *4,75 %* _(TPAK 67.93% (Tren Menurun))_<br>• *Tahun 2024 (Tingkat Pengangguran Terbuka):* *4,91 %* _(TPAK 67.92%)_<br>• *Tahun 2023 (Tingkat Pengangguran Terbuka):* *5,03 %* _(TPAK 67.46%)_<br>• *Tahun 2022 (Tingkat Pengangguran Terbuka):* *5,39 %* _(TPAK 68.81%)_<br>• *Tahun 2021 (Tingkat Pengangguran Terbuka):* *5,97 %* _(TPAK 62.68%)_<br><br>📁 *Kategori:* Tenaga Kerja<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Produk Domestik Regional Bruto (PDRB) ADHB & ADHK","📊 *DATA RESMI: PRODUK DOMESTIK REGIONAL BRUTO (PDRB) ADHB & ADHK*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2024 (PDRB ADHB):* *20.003,49 Miliar Rp* _(ADHK: 11.702,39 M)_<br>• *Tahun 2023 (PDRB ADHB):* *19.279,6 Miliar Rp* _(ADHK: 11.753,74 M)_<br>• *Tahun 2022 (PDRB ADHB):* *17.956,28 Miliar Rp* _(ADHK: 11.255,79 M)_<br>• *Tahun 2021 (PDRB ADHB):* *16.166,01 Miliar Rp* _(ADHK: 10.733,86 M)_<br><br>📁 *Kategori:* Produk Domestik Regional Bruto (PDRB)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Produk Domestik Regional Bruto (PDRB)","📊 *DATA RESMI: PDRB ATAS DASAR HARGA BERLAKU KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (PDRB Atas Dasar Harga Berlaku):* *24.520,1 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2024 (PDRB ADHB):* *20.003,49 Miliar Rp* _(ADHK: 11.702,39 M)_<br>• *Tahun 2024 (PDRB Atas Dasar Harga Berlaku):* *23.150,8 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2023 (PDRB ADHB):* *19.279,6 Miliar Rp* _(ADHK: 11.753,74 M)_<br>• *Tahun 2023 (PDRB Atas Dasar Harga Berlaku):* *21.890,2 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2022 (PDRB ADHB):* *17.956,28 Miliar Rp* _(ADHK: 11.255,79 M)_<br>• *Tahun 2022 (PDRB Atas Dasar Harga Berlaku):* *20.534,7 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2021 (PDRB ADHB):* *16.166,01 Miliar Rp* _(ADHK: 10.733,86 M)_<br>• *Tahun 2021 (PDRB Atas Dasar Harga Berlaku):* *19.102,3 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2020 (PDRB Atas Dasar Harga Berlaku):* *18.245,5 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br><br>📁 *Kategori:* Produk Domestik Regional Bruto (PDRB)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Indeks Pembangunan Gender (IPG) Kabupaten Bangka","📊 *DATA RESMI: INDEKS PEMBANGUNAN GENDER (IPG) KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Indeks Pembangunan Gender):* *89,36 Indeks* _(Naik dari 2024)_<br>• *Tahun 2024 (Indeks Pembangunan Gender):* *89,07 Indeks* _(Realisasi)_<br>• *Tahun 2023 (Indeks Pembangunan Gender):* *89,24 Indeks* _(Realisasi)_<br>• *Tahun 2022 (Indeks Pembangunan Gender):* *88,84 Indeks* _(Realisasi)_<br>• *Tahun 2021 (Indeks Pembangunan Gender):* *88,36 Indeks* _(Realisasi)_<br>• *Tahun 2020 (Indeks Pembangunan Gender):* *88,48 Indeks* _(Realisasi)_<br><br>📁 *Kategori:* Indeks Pembangunan Gender (IPG)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Indeks Pembangunan Gender (IPG)","📊 *DATA RESMI: INDEKS PEMBANGUNAN GENDER (IPG) KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Indeks Pembangunan Gender):* *89,36 Indeks* _(Naik dari 2024)_<br>• *Tahun 2024 (Indeks Pembangunan Gender):* *89,07 Indeks* _(Realisasi)_<br>• *Tahun 2023 (Indeks Pembangunan Gender):* *89,24 Indeks* _(Realisasi)_<br>• *Tahun 2022 (Indeks Pembangunan Gender):* *88,84 Indeks* _(Realisasi)_<br>• *Tahun 2021 (Indeks Pembangunan Gender):* *88,36 Indeks* _(Realisasi)_<br>• *Tahun 2020 (Indeks Pembangunan Gender):* *88,48 Indeks* _(Realisasi)_<br><br>📁 *Kategori:* Indeks Pembangunan Gender (IPG)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Dimensi Pendidikan: Rata-Rata Lama Sekolah (RLS)","📊 *DATA RESMI: DIMENSI PENDIDIKAN: RATA-RATA LAMA SEKOLAH (RLS)*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Rata-Rata Lama Sekolah (RLS)):* *8,77 Tahun* _(HLS: 13.13)_<br>• *Tahun 2024 (Rata-Rata Lama Sekolah (RLS)):* *8,45 Tahun* _(HLS: 13.12)_<br>• *Tahun 2023 (Rata-Rata Lama Sekolah (RLS)):* *8,32 Tahun* _(HLS: 13.11)_<br>• *Tahun 2022 (Rata-Rata Lama Sekolah (RLS)):* *8,27 Tahun* _(HLS: 12.80)_<br>• *Tahun 2021 (Rata-Rata Lama Sekolah (RLS)):* *8,25 Tahun* _(HLS: 12.78)_<br><br>📁 *Kategori:* Dimensi Pendidikan (RLS & HLS)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Dimensi Pendidikan (RLS & HLS)","📊 *DATA RESMI: DIMENSI PENDIDIKAN: RATA-RATA LAMA SEKOLAH (RLS)*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Rata-Rata Lama Sekolah (RLS)):* *8,77 Tahun* _(HLS: 13.13)_<br>• *Tahun 2024 (Rata-Rata Lama Sekolah (RLS)):* *8,45 Tahun* _(HLS: 13.12)_<br>• *Tahun 2023 (Rata-Rata Lama Sekolah (RLS)):* *8,32 Tahun* _(HLS: 13.11)_<br>• *Tahun 2022 (Rata-Rata Lama Sekolah (RLS)):* *8,27 Tahun* _(HLS: 12.80)_<br>• *Tahun 2021 (Rata-Rata Lama Sekolah (RLS)):* *8,25 Tahun* _(HLS: 12.78)_<br><br>📁 *Kategori:* Dimensi Pendidikan (RLS & HLS)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Sosial Ekonomi","📊 *DATA STATISTIK: SOSIAL EKONOMI*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2026 (Indikator Uji Coba):* *1.234,56 Unit*<br><br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data ini disinkronkan secara otomatis dari sistem SAPA BPS 1901._"
"Persentase Penduduk Miskin Kabupaten Bangka","📊 *DATA RESMI: PERSENTASE PENDUDUK MISKIN KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Persentase Kemiskinan):* *4,71 %* _(P1: 0.51 | P2: 0.09 | Miskin: 16.58 rb)_<br>• *Tahun 2025 (Persentase Penduduk Miskin):* *4,28 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2024 (Persentase Kemiskinan):* *4,24 %* _(P1: 0.62 | P2: 0.14)_<br>• *Tahun 2024 (Persentase Penduduk Miskin):* *4,41 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2023 (Persentase Kemiskinan):* *4,32 %* _(P1: 0.35 | P2: 0.04)_<br>• *Tahun 2023 (Persentase Penduduk Miskin):* *4,55 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2022 (Persentase Kemiskinan):* *4,26 %* _(P1: 0.67 | P2: 0.15)_<br>• *Tahun 2022 (Persentase Penduduk Miskin):* *4,72 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2021 (Persentase Penduduk Miskin):* *4,98 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2020 (Persentase Penduduk Miskin):* *5,04 Persen (%)* _(DEMO / SAMPLE DATA)_<br><br>📁 *Kategori:* Data Kemiskinan<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"PDRB Atas Dasar Harga Berlaku Kabupaten Bangka","📊 *DATA RESMI: PDRB ATAS DASAR HARGA BERLAKU KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (PDRB Atas Dasar Harga Berlaku):* *24.520,1 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2024 (PDRB ADHB):* *20.003,49 Miliar Rp* _(ADHK: 11.702,39 M)_<br>• *Tahun 2024 (PDRB Atas Dasar Harga Berlaku):* *23.150,8 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2023 (PDRB ADHB):* *19.279,6 Miliar Rp* _(ADHK: 11.753,74 M)_<br>• *Tahun 2023 (PDRB Atas Dasar Harga Berlaku):* *21.890,2 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2022 (PDRB ADHB):* *17.956,28 Miliar Rp* _(ADHK: 11.255,79 M)_<br>• *Tahun 2022 (PDRB Atas Dasar Harga Berlaku):* *20.534,7 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2021 (PDRB ADHB):* *16.166,01 Miliar Rp* _(ADHK: 10.733,86 M)_<br>• *Tahun 2021 (PDRB Atas Dasar Harga Berlaku):* *19.102,3 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2020 (PDRB Atas Dasar Harga Berlaku):* *18.245,5 Miliar Rupiah* _(DEMO / SAMPLE DATA)_<br><br>📁 *Kategori:* Produk Domestik Regional Bruto (PDRB)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Angka Partisipasi Sekolah Kabupaten Bangka","📊 *DATA RESMI: ANGKA PARTISIPASI SEKOLAH KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Rata-Rata Lama Sekolah (RLS)):* *8,77 Tahun* _(HLS: 13.13)_<br>• *Tahun 2024 (Rata-Rata Lama Sekolah (RLS)):* *8,45 Tahun* _(HLS: 13.12)_<br>• *Tahun 2024 (APS SD (7-12 tahun)):* *99,72 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2024 (APS SMP (13-15 tahun)):* *96,12 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2023 (Rata-Rata Lama Sekolah (RLS)):* *8,32 Tahun* _(HLS: 13.11)_<br>• *Tahun 2023 (APS SD (7-12 tahun)):* *99,68 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2023 (APS SMP (13-15 tahun)):* *95,87 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2022 (Rata-Rata Lama Sekolah (RLS)):* *8,27 Tahun* _(HLS: 12.80)_<br>• *Tahun 2022 (APS SD (7-12 tahun)):* *99,61 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2022 (APS SMP (13-15 tahun)):* *95,42 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2021 (Rata-Rata Lama Sekolah (RLS)):* *8,25 Tahun* _(HLS: 12.78)_<br>• *Tahun 2021 (APS SD (7-12 tahun)):* *99,52 Persen (%)* _(DEMO / SAMPLE DATA)_<br>• *Tahun 2021 (APS SMP (13-15 tahun)):* *95,18 Persen (%)* _(DEMO / SAMPLE DATA)_<br><br>📁 *Kategori:* Angka Partisipasi Sekolah<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
